Time	Open	High	Low	Close	Volume
2017-09-04 00:00:00	142.349	142.497	142.171	142.248	26222	17
2017-09-04 04:00:00	142.25	142.274	141.637	141.649	36587	14
2017-09-04 08:00:00	141.652	142.148	141.588	142.129	35854	14
2017-09-04 12:00:00	142.129	142.219	141.835	141.851	30082	15
2017-09-04 16:00:00	141.847	141.871	141.58	141.741	22161	15
2017-09-04 20:00:00	141.745	141.931	141.634	141.896	25447	51
2017-09-05 00:00:00	141.895	141.895	141.194	141.289	36286	17
2017-09-05 04:00:00	141.289	141.528	141.228	141.445	38605	16
2017-09-05 08:00:00	141.445	141.825	141.346	141.703	41615	15
2017-09-05 12:00:00	141.706	141.902	141.565	141.766	57196	14
2017-09-05 16:00:00	141.766	141.831	141.357	141.754	49466	14
2017-09-05 20:00:00	141.762	141.843	141.526	141.619	23322	14
2017-09-06 00:00:00	141.619	141.808	141.49	141.607	28223	16
2017-09-06 04:00:00	141.607	141.877	141.368	141.79	30101	17
2017-09-06 08:00:00	141.788	142.146	141.423	142.008	41864	13
2017-09-06 12:00:00	142.009	142.541	141.957	142.155	56965	14
2017-09-06 16:00:00	142.154	142.68	142.04	142.558	47842	14
2017-09-06 20:00:00	142.554	142.62	142.365	142.402	19475	17
2017-09-07 00:00:00	142.402	142.473	142.174	142.305	34285	18
2017-09-07 04:00:00	142.305	142.327	142.069	142.189	36136	19
2017-09-07 08:00:00	142.191	142.628	142.141	142.597	40756	13
2017-09-07 12:00:00	142.597	142.677	141.608	141.75	71705	15
2017-09-07 16:00:00	141.75	142.214	141.484	142.086	48689	14
2017-09-07 20:00:00	142.087	142.18	141.812	141.897	19473	14
2017-09-08 00:00:00	141.894	142.156	141.732	141.996	44249	15
2017-09-08 04:00:00	141.996	142.081	141.34	141.573	57080	20
2017-09-08 08:00:00	141.574	141.974	141.352	141.93	46564	14
2017-09-08 12:00:00	141.928	142.545	141.805	142.281	58638	12
2017-09-08 16:00:00	142.283	142.396	142.089	142.268	39315	14
2017-09-08 20:00:00	142.264	142.4	142.229	142.252	11172	17
2017-09-10 20:00:00	142.638	143.043	142.542	142.843	13745	118
2017-09-11 00:00:00	142.845	143.051	142.739	142.888	33785	17
2017-09-11 04:00:00	142.888	143.208	142.692	143.015	38362	14
2017-09-11 08:00:00	143.013	143.564	142.942	143.452	37535	13
2017-09-11 12:00:00	143.453	143.677	143.434	143.626	51619	14
2017-09-11 16:00:00	143.627	144.156	143.598	144.139	39129	15
2017-09-11 20:00:00	144.139	144.169	143.898	144.068	19723	16
2017-09-12 00:00:00	144.071	144.238	143.979	144.107	26684	15
2017-09-12 04:00:00	144.111	144.708	144.071	144.58	32266	13
2017-09-12 08:00:00	144.581	145.954	144.564	145.787	47753	13
2017-09-12 12:00:00	145.784	146.168	145.361	146.087	55239	14
2017-09-12 16:00:00	146.087	146.539	146.008	146.377	43110	15
2017-09-12 20:00:00	146.388	146.573	146.183	146.481	20592	7
2017-09-13 00:00:00	146.481	146.519	146.26	146.47	26250	15
2017-09-13 04:00:00	146.47	146.66	146.334	146.415	28519	12
2017-09-13 08:00:00	146.417	146.523	145.746	146.156	36610	13
2017-09-13 12:00:00	146.155	146.461	145.968	146.154	53323	13
2017-09-13 16:00:00	146.155	146.212	145.668	146.059	37617	12
2017-09-13 20:00:00	146.062	146.066	145.851	145.929	19980	12
2017-09-14 00:00:00	145.931	146.23	145.824	145.906	25486	15
2017-09-14 04:00:00	145.906	146.053	145.784	145.887	29924	15
2017-09-14 08:00:00	145.886	147.666	145.178	147.643	40442	13
2017-09-14 12:00:00	147.644	148.302	147.361	148.262	65694	12
2017-09-14 16:00:00	148.259	148.342	148.015	148.082	31904	15
2017-09-14 20:00:00	148.082	148.104	146.621	147.291	28848	16
2017-09-15 00:00:00	147.293	147.889	147.242	147.845	24265	18
2017-09-15 04:00:00	147.847	148.898	147.81	148.711	33790	17
2017-09-15 08:00:00	148.711	151.545	148.639	150.938	55076	12
2017-09-15 12:00:00	150.937	151.108	150.157	150.477	57774	14
2017-09-15 16:00:00	150.477	150.586	150.291	150.565	32316	13
2017-09-15 20:00:00	150.566	150.801	150.557	150.648	8212	16
2017-09-17 20:00:00	150.56	151.017	150.548	150.944	10198	177
2017-09-18 00:00:00	150.945	151.245	150.885	151.091	18979	10
2017-09-18 04:00:00	151.091	151.512	150.796	150.982	32405	16
2017-09-18 08:00:00	150.982	151.118	150.517	150.815	40082	12
2017-09-18 12:00:00	150.815	151.269	150.266	150.306	50000	9
2017-09-18 16:00:00	150.311	150.569	150.141	150.352	35956	12
2017-09-18 20:00:00	150.351	150.794	150.351	150.668	24681	15
2017-09-19 00:00:00	150.668	150.823	150.59	150.703	25762	10
2017-09-19 04:00:00	150.703	151.588	150.703	151.122	39916	11
2017-09-19 08:00:00	151.127	151.163	150.325	150.47	46402	12
2017-09-19 12:00:00	150.47	150.997	150.13	150.697	52170	11
2017-09-19 16:00:00	150.693	150.858	150.491	150.853	33438	10
2017-09-19 20:00:00	150.85	150.969	150.491	150.799	17655	7
2017-09-20 00:00:00	150.808	150.917	150.661	150.682	27004	17
2017-09-20 04:00:00	150.681	150.915	150.488	150.601	27176	14
2017-09-20 08:00:00	150.6	151.517	150.467	150.657	37945	14
2017-09-20 12:00:00	150.655	151.353	150.624	151.225	106333	10
2017-09-20 16:00:00	151.225	152.17	151.065	151.457	66350	10
2017-09-20 20:00:00	151.456	151.911	151.236	151.827	28763	13
2017-09-21 00:00:00	151.826	151.981	151.583	151.705	39414	17
2017-09-21 04:00:00	151.703	152.249	151.603	151.896	36780	11
2017-09-21 08:00:00	151.896	151.992	151.453	151.657	35321	11
2017-09-21 12:00:00	151.657	152.534	151.501	152.447	74186	9
2017-09-21 16:00:00	152.447	152.843	152.276	152.787	33649	12
2017-09-21 20:00:00	152.788	152.856	152.599	152.708	16699	13
2017-09-22 00:00:00	152.702	152.75	151.629	151.801	33872	17
2017-09-22 04:00:00	151.803	152.335	151.737	152.156	36927	12
2017-09-22 08:00:00	152.156	152.231	151.6	151.911	40145	11
2017-09-22 12:00:00	151.908	152.254	150.965	151.545	96675	11
2017-09-22 16:00:00	151.548	151.706	151.489	151.502	33665	13
2017-09-22 20:00:00	151.504	151.621	150.665	151.106	9661	19
2017-09-24 20:00:00	151.253	151.921	151.209	151.85	13128	114
2017-09-25 00:00:00	151.85	152.246	151.724	151.812	32089	18
2017-09-25 04:00:00	151.812	152.269	151.662	151.685	36246	16
2017-09-25 08:00:00	151.697	151.874	151.054	151.332	42858	10
2017-09-25 12:00:00	151.335	151.859	150.055	150.165	57665	10
2017-09-25 16:00:00	150.164	150.53	149.749	150.358	43230	13
2017-09-25 20:00:00	150.356	150.688	150.237	150.583	19627	14
2017-09-26 00:00:00	150.582	150.632	150.31	150.363	25417	14
2017-09-26 04:00:00	150.362	150.91	150.191	150.634	32530	14
2017-09-26 08:00:00	150.631	150.7	149.984	150.228	39580	12
2017-09-26 12:00:00	150.229	150.884	150.157	150.531	45722	11
2017-09-26 16:00:00	150.536	151.027	150.519	150.974	48008	8
2017-09-26 20:00:00	150.981	151.145	150.956	151.048	17173	14
2017-09-27 00:00:00	151.05	151.266	150.967	150.995	21827	16
2017-09-27 04:00:00	150.997	151.001	150.518	150.884	37248	14
2017-09-27 08:00:00	150.884	151.601	150.805	151.497	45438	12
2017-09-27 12:00:00	151.492	151.595	150.573	151.104	58483	11
2017-09-27 16:00:00	151.105	151.251	150.69	151.06	41252	13
2017-09-27 20:00:00	151.06	151.299	150.867	151.247	18983	14
2017-09-28 00:00:00	151.246	151.394	150.992	151.173	29557	17
2017-09-28 04:00:00	151.172	151.325	150.941	151.05	40980	20
2017-09-28 08:00:00	151.051	151.274	150.469	151.121	42418	12
2017-09-28 12:00:00	151.125	151.574	151.029	151.322	54635	11
2017-09-28 16:00:00	151.317	151.395	150.988	151.038	26242	10
2017-09-28 20:00:00	151.037	151.095	150.852	151.052	16252	13
2017-09-29 00:00:00	151.052	151.281	150.989	151.081	21055	14
2017-09-29 04:00:00	151.08	151.223	150.624	150.728	29952	9
2017-09-29 08:00:00	150.713	150.909	150.196	150.549	35648	11
2017-09-29 12:00:00	150.551	151.129	150.291	150.975	57780	11
2017-09-29 16:00:00	150.975	151	150.619	150.776	26803	12
2017-09-29 20:00:00	150.771	150.916	150.606	150.67	4277	12
2017-10-01 20:00:00	150.598	150.962	150.387	150.881	7817	91
2017-10-02 00:00:00	150.883	150.949	150.734	150.819	21310	15
2017-10-02 04:00:00	150.818	150.924	150.566	150.58	29833	16
2017-10-02 08:00:00	150.578	150.597	149.925	149.93	38260	14
2017-10-02 12:00:00	149.929	149.929	149.275	149.391	50257	10
2017-10-02 16:00:00	149.388	149.755	149.301	149.663	25245	11
2017-10-02 20:00:00	149.663	149.754	149.509	149.68	19819	7
2017-10-03 00:00:00	149.68	149.972	149.47	149.93	27646	15
2017-10-03 04:00:00	149.93	150.233	149.8	150.154	29703	15
2017-10-03 08:00:00	150.154	150.237	149.628	149.759	32522	12
2017-10-03 12:00:00	149.763	149.776	149.293	149.452	38142	10
2017-10-03 16:00:00	149.452	149.595	149.327	149.425	22005	10
2017-10-03 20:00:00	149.424	149.45	149.313	149.439	16003	12
2017-10-04 00:00:00	149.438	149.51	149.208	149.479	22721	15
2017-10-04 04:00:00	149.477	149.48	149.037	149.075	26363	11
2017-10-04 08:00:00	149.077	149.555	149.062	149.13	31144	12
2017-10-04 12:00:00	149.13	149.824	149.101	149.732	44567	11
2017-10-04 16:00:00	149.732	149.905	149.36	149.406	20032	10
2017-10-04 20:00:00	149.406	149.437	149.248	149.29	16805	11
2017-10-05 00:00:00	149.29	149.453	149.11	149.302	15727	13
2017-10-05 04:00:00	149.301	149.348	148.441	148.593	24630	15
2017-10-05 08:00:00	148.588	148.716	148.052	148.114	32513	11
2017-10-05 12:00:00	148.113	148.181	147.679	148.01	45600	10
2017-10-05 16:00:00	148.01	148.188	147.869	147.996	22330	11
2017-10-05 20:00:00	147.997	148.031	147.841	147.901	11481	10
2017-10-06 00:00:00	147.901	147.947	147.673	147.753	18863	15
2017-10-06 04:00:00	147.754	147.9	147.593	147.709	25770	15
2017-10-06 08:00:00	147.708	147.979	147.407	147.69	28075	11
2017-10-06 12:00:00	147.692	147.928	147.044	147.22	145922	12
2017-10-06 16:00:00	147.22	147.289	147.074	147.186	19947	12
2017-10-06 20:00:00	147.188	147.269	147.139	147.157	6049	15
2017-10-08 20:00:00	147.392	147.432	146.944	147.23	11695	121
2017-10-09 00:00:00	147.231	147.54	147.218	147.538	13380	14
2017-10-09 04:00:00	147.536	147.9	147.404	147.773	25041	14
2017-10-09 08:00:00	147.773	148.55	147.592	148.414	28284	12
2017-10-09 12:00:00	148.414	148.455	147.853	147.897	28486	10
2017-10-09 16:00:00	147.897	148.287	147.893	147.988	27017	10
2017-10-09 20:00:00	147.991	148.105	147.933	148.072	25250	14
2017-10-10 00:00:00	148.077	148.417	148.029	148.233	21905	14
2017-10-10 04:00:00	148.233	148.426	148.137	148.32	27914	13
2017-10-10 08:00:00	148.319	148.417	148.046	148.245	36879	10
